Budget,Certificate,Gross,Keywords,Original_Language,Popularity,Production_Companies,Production_Countries,Released_Year,Revenue,Series_Title,date_details
2000000,NR,105000000.0,"['epic', 'martial arts', 'japan', 'samurai', 'sword', 'peasant', 'village', 'looting', 'rice', 'fencing', 'moral ambiguity', 'black and white', 'battle', 'bandit', 'practice', 'jidaigeki', 'domineering', '16th century', 'plunder', 'bushi', 'awestruck']",ja,7.5535,['TOHO'],['Japan'],1954,105000000,Shichinin no samurai,1954-04-26
3180000,PG,9644124.0,"['small town', 'angel', 'suicide attempt', 'holiday', 'bank', 'melancholy', 'great depression', 'family business ', 'black and white', 'nervous breakdown', 'old house', 'newlywed', 'magic realism', 'told in flashback', 'alternative reality', 'guardian angel', 'high school dance', 'christmas', 'earnest', 'hopeful', 'sincere', 'xmas eve']",en,6.8296,['Liberty Films'],['United States of America'],1946,9644124,It's a Wonderful Life,1946-12-20
55000000,R,1078958629.0,"['dreams', 'street gang', 'society', 'psychopath', 'clown', 'villain', 'based on comic', 'murder', 'psychological thriller', 'criminal mastermind', 'cynical', 'mental illness', 'anarchy', 'character study', 'clown makeup', 'prophetic', 'subway train', 'social realism', 'supervillain', 'tv host', '1980s', 'mother son relationship', 'origin story', 'falling into madness']",en,24.7173,"['Warner Bros. Pictures', 'Joint Effort', 'Village Roadshow Pictures', 'Bron Studios', 'DC Films']","['Canada', 'United States of America']",2019,1078958629,Joker,2019-08-31
3300000,R,50307484.0,"['new york city', 'concert', 'jazz', 'musician', 'obsession', 'music teacher', 'conservatory', 'drums', 'montage', 'blunt', 'perfectionist', 'perfection', 'public humiliation', 'jazz band', 'young adult', 'music school', 'based on short', 'drummer']",en,18.2975,"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",['United States of America'],2014,50307484,Whiplash,2014-01-16
13000000,R,426590315.0,"['friendship', 'male friendship', 'based on true story', 'masseuse', 'aristocrat', 'paragliding', 'interracial friendship', 'unlikely friendship', 'duringcreditsstinger', 'quadriplegic', 'quadriplegia', 'feel good', 'intouchables']",fr,13.9089,"['Gaumont', 'Quad Productions', 'Chaocorp', 'Ten Films', 'TF1 Films Production']",['France'],2011,426590315,The Intouchables,2011-09-23
40000000,PG-13,109676311.0,"['dying and death', 'suicide', 'class society', 'london, england', 'magic', 'competition', 'obsession', 'hostility', 'class', 'diary', 'twist', 'tricks', 'illusion', 'rivalry', 'partner', 'steampunk', 'cruelty', 'hanging', 'jail cell', '19th century', 'nikola tesla', 'magician', 'tesla coil', 'bittersweet', 'secret', 'absurd', 'mind-blowing']",en,16.1319,"['Warner Bros. Pictures', 'Touchstone Pictures', 'Newmarket Films', 'Syncopy']","['United Kingdom', 'United States of America']",2006,109676311,The Prestige,2006-10-17
90000000,R,291465000.0,"['police', 'undercover', 'boston, massachusetts', 'gangster', 'irish-american', 'crime boss', 'friends', 'remake', 'mobster', 'organized crime', 'mafia', 'undercover cop', 'mole', 'state police', 'police training', 'realtor', 'dreary', 'frightened']",en,12.8827,"['Warner Bros. Pictures', 'Plan B Entertainment', 'Initial Entertainment Group', 'Vertigo Entertainment', 'Media Asia Films']","['Hong Kong', 'United States of America']",2006,291465000,The Departed,2006-09-26
35000000,R,120098945.0,"['concert', 'nazi', 'resistance', 'warsaw ghetto', 'polish resistance', 'homeland', 'holocaust (shoah)', 'hunger', 'world war ii', 'prisoner of war', 'ghetto', 'deportation', 'jew persecution', 'liberation', 'biography', 'survival', 'based on memoir or autobiography', 'pianist', 'poland', 'angry', 'complex', 'compassionate']",en,10.0585,"['Bac Films', 'Heritage Films', 'Studio Babelsberg', 'R.P. Productions', 'StudioCanal', 'Canal+', 'Runteam']","['France', 'Germany', 'Poland', 'United Kingdom']",2002,120098945,The Pianist,2002-05-24
103000000,R,465516248.0,"['epic', 'gladiator', 'rome, italy', 'arena', 'senate', 'roman empire', 'parent child relationship', 'emperor', 'slavery', 'ancient rome', 'revenge', 'battlefield', 'slave auction', 'historical fiction', 'ancient world', 'combat', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor', 'commodus', 'maximus', 'serene', 'defiant', 'gladiador']",en,18.3585,"['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'DreamWorks Pictures']","['United Kingdom', 'United States of America']",2000,465516248,Gladiator,2000-05-01
20000000,R,23900000.0,"['prison', 'neo-nazism', 'rape', 'skinhead', 'sibling relationship', 'swastika', 'nazi', 'brother', 'fascism', 'tragedy', 'jail', 'school', 'los angeles, california', 'family', 'xenophobia', 'interracial friendship', 'nazism', 'disturbed', 'violence', 'crime', 'distressing']",en,6.3846,"['New Line Cinema', 'Savoy Pictures', 'The Turman-Morrissey Company']",['United States of America'],1998,23900000,American History X,1998-07-01
6000000,R,23300000.0,"['new york city', 'robbery', 'affectation', 'relatives', 'heist', 'flashback', 'police corruption', 'whodunit', 'los angeles, california', 'theft', 'criminal', 'criminal mastermind', 'cargo ship', 'mind game', 'shocking', 'neo-noir', 'mystery villain', 'incredulous', 'rashomon effect']",en,11.9224,"['Bad Hat Harry Productions', 'Blue Parrot Productions']",['United States of America'],1995,23300000,The Usual Suspects,1995-01-25
16000000,R,45284974.0,"['hotel room', 'new york city', 'immigrant', 'assassin', 'police brutality', 'corruption', 's.w.a.t.', 'hitman', 'loss of loved one', 'affectation', 'training', 'revenge', 'murder', 'loneliness', 'neighbor', 'tragic love', 'biting', 'blunt', 'city life', 'neo-noir', 'frantic', 'complex relationship', 'vindictive', 'dramatic', 'suspenseful', 'intense', 'callous', 'gentle', 'ominous', '萝莉']",fr,17.057,"['Gaumont', 'Les Films du Dauphin']",['France'],1994,45284974,Léon,1994-09-14
45000000,G,763455561.0,"['father murder', 'loss of loved one', 'africa', 'lion', 'cartoon', 'manipulation', 'villain', 'redemption', 'musical', 'uncle', 'coming of age', 'murder', 'warthog', 'shaman', 'king', 'scar', 'family', 'hyena', 'meerkat', 'nature', 'mandrill', 'inspirational', 'comforting', 'powerful']",en,22.2803,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],1994,763455561,The Lion King,1994-06-11
102000000,R,520000000.0,"['man vs machine', 'cyborg', 'shotgun', 'dystopia', 'moral ambiguity', 'post-apocalyptic future', 'villain', 'time travel', 'mental institution', 'juvenile delinquent', 'fictional war', 'urban setting', 'troubled teen', 'morphing', 'nuclear weapons', 'shape shifter', 'savior', 'catch phrase', 'aggressive', 'action hero', 'complex', 'good versus evil', 'sinister', 'depressing', 'commanding', 'compassionate', 'exhilarated']",en,21.7606,"['Carolco Pictures', 'Pacific Western', 'Lightstorm Entertainment', 'Le Studio Canal+']","['France', 'United States of America']",1991,520000000,Terminator 2: Judgment Day,1991-07-01
5000000,PG,12462062.0,"['parent child relationship', 'sicily, italy', 'movie business', 'kiss', 'coming of age', 'flashback', 'magic realism', 'nostalgic', 'haunted by the past', 'censorship', 'nuovo cinema paradiso', 'movie theater', 'comforting', 'compassionate']",it,7.3232,"['RAI', 'Tre Forum', 'Les Films Ariane', 'TF1 Films Production']","['France', 'Italy']",1988,12462062,Nuovo Cinema Paradiso,1988-09-29
3700000,NR,842132.0,"['sibling relationship', 'hunger', 'world war ii', 'wartime', 'shelter', 'struggle for survival', 'pacific theater', 'adult animation', 'semi autobiographical', 'anti war', 'anime', 'grim', 'orphan siblings', 'children in wartime', 'distressing']",ja,0.0079,['Studio Ghibli'],['Japan'],1988,842132,Hotaru no haka,1988-04-16
