Series_Title,Released_Year,Keywords,date_details,Certificate
A Wednesday,2008,"['police', 'bomb', 'al qaeda', 'bomb threat']",2008-09-05,
Gran Torino,2008,"['rape', 'war veteran', 'gangster', 'immigration', 'old man', 'priest', 'gang', 'detroit, michigan', 'widower', 'hmong']",2008-12-09,R
Harry Potter and the Deathly Hallows: Part 2,2011,"['witch', 'dying and death', 'saving the world', 'self sacrifice', 'magic', 'school of witchcraft', 'sorcerer', 'school', 'battle', 'ghost', 'wizard', 'teenage hero', 'christmas', 'based on young adult novel', 'good versus evil']",2011-07-07,PG-13
Okuribito,2008,"['dying and death', 'funeral', 'octopus', 'coffin', 'cello', 'musical', 'based on memoir or autobiography', 'odd job', 'yamagata']",2008-09-13,PG-13
Hachi: A Dog's Tale,2009,"['friendship', 'loyalty', 'pet', 'human animal relationship', 'family relationships', 'friends', 'dog', 'newspaper reporter', 'family dog', 'waiting', 'pets', 'dramatic']",2009-06-08,G
Mary and Max,2009,"['australia', 'chocolate', 'approach', 'letter', 'birthmark', 'only child', 'bullying', 'friendship bracelet', 'pen pals', 'atheist', 'loneliness', 'stop motion', 'neighbor', 'phone book', 'adult animation', 'unlikely friendship', 'correspondence', 'eating disorder', ""asperger's syndrome""]",2009-01-15,NR
How to Train Your Dragon,2010,"['friendship', 'ship', 'blacksmith', 'island', 'based on novel or book', 'flying', 'arena', 'village', 'affectation', 'villain', 'training', 'ignorance', 'vikings (norsemen)', 'forest', 'flight', 'nest', 'dragon', 'battle', 'combat', 'nostalgic', 'well', 'warrior', 'pets', 'philosophical', 'reflective', 'wonder', 'loving', 'playful', 'serene', 'lighthearted', 'intimate', 'sentimental', 'witty', 'hilarious', 'romantic', 'whimsical', 'admiring', 'adoring', 'amused', 'awestruck', 'celebratory', 'cheerful', 'comforting', 'compassionate', 'empathetic', 'enthusiastic', 'euphoric', 'excited', 'familiar', 'gentle', 'hopeful', 'optimistic', 'powerful', 'sincere', 'sympathetic', 'vibrant']",2010-03-18,PG
Into the Wild,2007,"['parent child relationship', 'self-discovery', 'camping', 'wilderness', 'biography', 'based on true story', 'road trip', 'alaska', 'starvation', 'journey', 'bold']",2007-09-01,R
No Country for Old Men,2007,"['vietnam veteran', 'sheriff', 'trailer park', 'based on novel or book', 'hitman', 'psychopath', 'drug trafficking', 'texas', 'motel', 'usa–mexico border', 'drug cartel', 'fate', 'desert', 'modern-day western', 'neo-western', 'tracking device', 'cold blooded killer', 'motel room', 'cartel', 'neo-noir', '1980s', 'philosophical', 'mexican cartel', 'drug deal', 'coin toss', 'human nature', 'captive bolt gun', 'western noir', 'horror western', 'faithful adaptation', 'distressing', 'harsh', 'powerful']",2007-05-19,R
Lage Raho Munna Bhai,2006,"['historical figure', 'india']",2006-09-01,PG-13
Million Dollar Baby,2004,"['dying and death', 'transporter', 'strong woman', 'stroke of fate', 'advancement', 'sports', 'fight', 'suicide attempt', 'boxer', 'training', 'tragedy', 'female protagonist', 'brutality', 'boxing trainer', 'unlikely friendship', 'female boxing', 'knockout', 'euthanasia', 'determination', 'boxing']",2004-12-05,PG-13
Hotel Rwanda,2004,"['rwanda', 'refugee', 'refugee camp', 'militia', 'rwandan genocide', 'murder', 'slaughter', 'dead body', 'atrocity', 'african', 'cruelty', 'genocide', 'united nations', 'death', 'angry', 'aggressive', 'desperate', 'malicious', 'cautionary', 'factual', 'antagonistic', 'authoritarian', 'callous', 'commanding', 'foreboding', 'ominous']",2004-09-11,PG-13
Taegukgi hwinalrimyeo,2004,"['brotherhood', 'korean war (1950-53)', 'archaeologist', 'air raid', 'pyre', 'brother brother relationship', 'korean army', 'south korea', 'inter-korean relations']",2004-02-05,R
Before Sunset,2004,"['journalist', 'talking', 'soulmates', 'walking', 'paris, france', 'bookshop', ""love of one's life"", 'author', 'semi autobiographical']",2004-02-10,R
Munna Bhai M.B.B.S.,2003,"['medicine', 'hospital']",2003-12-19,
Salinui chueok,2003,"['assassin', 'police brutality', 'rape', 'corruption', 'police', 'detective', 'investigation', 'victim', 'based on true story', 'based on play or musical', 'murder', 'serial killer', 'torture', 'brutality', 'killer', 'neo-noir', '1980s', 'south korea']",2003-04-25,15
Dil Chahta Hai,2001,['urban life'],2001-07-24,PG
Kill Bill: Vol. 1,2003,"['martial arts', 'japan', 'kung fu', 'showdown', 'coma', 'sword', 'asia', 'yakuza', 'bride', 'sword fight', 'revenge', 'vigilante', 'female yakuza', 'animated scene', 'wedding', 'samurai sword', 'eye patch', 'retribution', 'somber', 'pessimistic']",2003-09-29,R
Finding Nemo,2003,"['fish', 'sydney, australia', 'parent child relationship', 'anthropomorphism', 'harbor', 'underwater', 'shark', 'pelican', 'fish tank', 'great barrier reef', 'sea turtle', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short-term memory loss', 'clownfish', 'father son reunion', 'protective father', 'tense']",2003-05-18,G
Catch Me If You Can,2002,"['fbi', 'con man', 'biography', 'based on true story', 'con artist', 'attempted jailbreak', 'engagement party', 'mislaid trust', 'christmas', 'bank fraud', 'conman', 'fraudster']",2002-12-16,PG-13
Amores perros,2000,"['daughter', 'secret love', 'homeless person', 'mexico city, mexico', 'money', 'dog fighting', 'dog', 'nonlinear timeline', 'multiple storylines', 'new mexican cinema', 'commanding']",2000-05-14,R
"Monsters, Inc.",2001,"['monster', 'panic', 'cheating', 'kidnapping', 'door', 'infant', 'villain', 'portal', 'rivalry', 'energy supply', 'friends', 'hijinks', 'best friend', 'chameleon', 'family', 'parallel world', 'conveyor belt', 'duringcreditsstinger', 'villain arrested', 'invisibility', 'energy company', 'conspirators']",2001-10-28,G
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,"['philosophy', 'insanity', 'post-apocalyptic future', 'futuristic', 'end of the world', 'mecha', 'avant-garde', 'meaningless existence', 'rebirth', 'anime', 'philosophical', 'psychological terror', 'complex', 'anxious', 'based on tv series', 'introspective', 'existential horror', 'alternate ending', 'inspirational', 'experimental surrealism', 'intense', 'distressing', 'sincere', 'sympathetic']",1997-07-19,NR
Lagaan: Once Upon a Time in India,2001,"['countryside', 'sports', 'patriotism', 'village', 'musical', 'challenge', 'cricket', 'taxes', 'based on true story', 'period drama', 'colonialism', 'british colonial', 'arrogance', 'untouchable', 'caste system', 'drought', '19th century', 'british raj', 'gujarati']",2001-06-15,PG
The Sixth Sense,1999,"['dying and death', 'child abuse', 'philadelphia, pennsylvania', 'sense of guilt', 'afterlife', 'marriage crisis', 'loss of loved one', 'confidence', 'psychology', 'paranormal phenomena', 'single', 'psychological thriller', 'cowardliness', 'single mother', 'school play', 'ghost', 'kids', 'spiritism', 'ghost child', 'supernatural thriller']",1999-08-02,PG-13
La leggenda del pianista sull'oceano,1998,"['ship', 'ocean', 'musical', 'ocean liner', 'child prodigy', 'pianist', 'foundling']",1998-10-28,R
The Truman Show,1998,"['escape', 'paranoia', 'dystopia', 'suspicion', 'video surveillance', 'deception', 'hidden camera', 'simulated reality ', 'television producer', 'tv show in film', 'make believe', 'actor', 'tv show', 'allegory of the cave']",1998-06-01,PG
"Crna macka, beli macor",1998,"['sibling relationship', 'gypsy', 'parent child relationship', 'grandparent grandchild relationship', 'black market', 'unexpected happiness', 'superstition', 'bathing', 'bad luck', 'gypsy music', 'teacher', 'debt', 'best friend', 'anarchic comedy', 'casamento', 'barco', 'gato', 'ciganos']",1998-06-01,R
The Big Lebowski,1998,"['vietnam veteran', 'white russian', 'bowling', 'carpet', 'nihilism', 'heart attack', 'kidnapping', 'lsd', 'marijuana', 'los angeles, california', 'millionaire', 'cowboy', 'ashes', 'impregnation', 'bowling team', 'unemployed', 'bowling ball', 'neo-noir', 'weeds', 'absurd', 'shaggy dog story']",1998-01-18,R
Fa yeung nin wah,2000,,,
Trainspotting,1996,"['drug dealer', 'friendship', 'london, england', 'based on novel or book', 'scotland', 'heroin', 'drug addiction', 'anti hero', 'junkie', 'nightclub', 'cold turkey', 'dark comedy', 'edinburgh, scotland', 'modern society', 'hallucination', 'surrealism', 'stealing', 'drug rehabilitation', 'drug dealing', 'drugs', 'schoolgirl', 'recovering addict', 'illegal drugs', 'social realism', 'drug culture']",1996-02-23,R
Fargo,1996,"['salesclerk', 'unsociability', 'police', 'cheating', 'ransom', 'winter', 'kidnapping', 'minnesota', 'dark comedy', 'north dakota', 'money', 'murder', 'police officer', 'car dealership', 'woodchipper', 'macabre', 'false history', 'neo-noir', 'complex', 'minneapolis']",1996-03-08,R
Underground,1995,"['world war ii', 'lie', 'cellar', 'resistance fighter', 'belgrade', 'anarchic comedy']",1995-05-13,15
La haine,1995,"['neo-nazism', 'police brutality', 'hip-hop', 'paris, france', 'socially deprived family', 'breakdance', 'ghetto', 'male friendship', 'racism', 'black and white', 'xenophobia', 'day in a life', 'aggressive', 'paris suburb']",1995-05-27,NR
Dilwale Dulhania Le Jayenge,1995,"[""family's daily life"", 'family history', 'love-hate relationship', 'family drama', 'love affair', 'curious', 'casual']",1995-10-20,G
Before Sunrise,1995,"['sunrise', 'talking', 'soulmates', 'walking', 'austria', 'vienna, austria', 'semi autobiographical', 'playful', 'lighthearted', 'cliché']",1995-01-19,R
Trois couleurs: Rouge,1994,"['infidelity', 'judge', 'isolation', 'shadowing', 'english channel', 'geneva, switzerland', 'weather forecast', 'retiree', 'dog', 'surveillance', 'prediction', 'unlikely friendship', 'the color red', 'love destiny', 'fashion model', 'empathetic']",1994-05-12,R
Chung Hing sam lam,1994,"['drug smuggling', 'police', 'ex-girlfriend', 'girlfriend', 'snack bar', 'romance', 'hong kong', 'expiration date', 'flight attendant', 'cleaning', 'relaxed', 'hilarious', 'romantic', 'joyful']",1994-07-14,PG-13
Jurassic Park,1993,"['exotic island', 'island', 'triceratops', 'brontosaurus', 'electric fence', 'dna', 'tyrannosaurus rex', 'paleontology', 'dinosaur', 'amusement park', 'theme park']",1993-06-09,PG-13
In the Name of the Father,1993,"['prison', 'rebellion', 'based on novel or book', 'parent child relationship', 'faith', '1970s', 'biography', 'northern ireland', 'trial', 'torture', 'terrorism', 'ira (irish republican army)', 'ireland', 'courtroom', 'prison riot', 'belfast, north ireland', 'terrorist bombing', 'english police', 'father son conflict', 'innocent in jail', 'father son relationship', 'innocent man', 'irish history', 'corrupt police officials', 'petty thief', 'irish', 'corrupt legal system', 'corrupt district attorney', 'empathetic', 'irish resistance', 'irish writer', 'british injustice', 'british crimes']",1993-12-12,R
Ba wang bie ji,1993,"['china', 'society', 'transvestite', 'cultural revolution', 'woman between two men', 'best friend', 'beijing, china', 'lgbt', 'chinese opera', 'female impersonator', 'severed finger']",1993-01-01,R
Dà hóng denglong gaogao guà,1991,"['competition', 'marriage', 'romantic rivalry', 'polygamy', 'concubine', 'wealth', 'intrigue', 'oppression', '1920s']",1991-09-10,PG
Dead Poets Society,1989,"['individual', 'friendship', 'philosophy', 'poetry', 'literature', 'professor', 'based on true story', 'coming of age', 'teacher', 'school play', 'new england', 'vermont', 'schoolteacher', 'preparatory school', '1950s', 'somber', 'philosophical', 'inspirational', 'teenager', 'depressing']",1989-06-02,PG
Stand by Me,1986,"['friendship', 'based on novel or book', 'leech', 'affectation', 'bullying', 'road trip', 'oregon, usa', 'coming of age', 'railroad track', 'story within the story', 'flipping coin', 'campfire story', 'pie eating', 'told in flashback', 'kids', '1950s', 'boys', 'coin toss', 'familiar']",1986-08-08,R
Platoon,1986,"['dying and death', 'vietnam war', 'helicopter', 'ambush', 'war crimes', 'village', 'mine', 'bunker', 'infantry', 'jungle', 'gang rape', 'soldier', 'battle', 'violent death', 'false accusations', 'platoon', 'combat', 'casualty of war', 'marijuana joint', 'marijuana pipe', 'semi autobiographical', 'anti war', 'wounded soldier', 'conscripts', 'military draft', 'violent man', 'american soldiers', 'tour of duty', 'murder witness', 'army vs civilians', 'cautionary', 'suspenseful', 'critical', 'intense', 'defiant', 'philosophical depiction of war']",1986-12-19,R
"Paris, Texas",1984,"['van', 'regret', 'sibling relationship', 'texas', 'peep show', 'redemption', 'mute', 'los angeles, california', 'on the road', 'desert', 'family', 'modern-day western', 'neo-western', 'new german cinema', 'fugue state']",1984-05-19,R
Kaze no tani no Naushika,1984,"['future', 'airplane', 'saving the world', 'human vs nature', 'fungus spores   ', 'post-apocalyptic future', 'giant insect', 'toxic', 'based on manga', 'ecology', 'anime', 'inspirational', 'adventure']",1984-03-11,PG
The Thing,1982,"['spacecraft', 'helicopter', 'space marine', 'based on novel or book', 'isolation', 'mutation', 'paranoia', 'grave', 'snowstorm', 'research station', 'alien life-form', 'alien', 'remake', 'survival', 'creature', 'helicopter pilot', 'antarctica', 'shape shifting alien', 'alien infection', 'survival horror', 'sled dogs', 'alien monster', 'alien parasites', 'isolated place', 'uncertainty', 'blood test', 'body horror', 'ambiguity', 'critical', 'antarctic']",1982-06-25,R
Pink Floyd: The Wall,1982,"['rock star', 'berlin wall', 'paranoia', 'wall', 'descent into madness', 'rock musical', 'adult animation']",1982-05-23,R
Fitzcarraldo,1982,"['peru', 'plantation', 'ambition', 'amazon rainforest', 'steamboat', 'south america', 'opera house', 'riverboat', '19th century', 'imperialism', 'iquitos, peru', 'amazon river', 'rubber', 'white water rafting', 'willpower', 'manaos, brazil', 'transporting boat', 'amazonie']",1982-03-02,PG
Fanny och Alexander,1982,"['dying and death', 'child abuse', 'sibling relationship', 'funeral', 'loss of loved one', 'sweden', 'bishop', 'theatre group', 'child prodigy', 'dysfunctional family', 'ghost', 'hamlet', 'turn of the century', 'christmas', '1900s', '20th century', 'family chronicle']",1982-12-17,R
Blade Runner,1982,"['android', 'flying car', 'bounty hunter', 'artificial intelligence (a.i.)', 'genetics', 'based on novel or book', 'dystopia', 'futuristic', 'fugitive', 'cyberpunk', 'los angeles, california', 'alcoholic', 'origami', 'unicorn', 'tech noir', 'meditative', 'neo-noir', 'human clone', 'blade runner', '2010s', 'introspective']",1982-06-25,R
The Elephant Man,1980,"['exploitation', 'biography', 'based on true story', 'hospital', 'black and white', 'curiosity', 'sideshow', 'disfigurement', 'deformed', 'physical deformity', 'freak', '19th century', 'dignity']",1980-10-02,PG
Life of Brian,1979,"['roman empire', 'jewry', 'three kings', 'crucifixion', 'bethlehem', 'independence movement', 'satire', 'parody', 'religion', 'sermon on the mount', 'anarchic comedy', 'mother son relationship', 'hilarious', 'religious satire']",1979-08-17,R
The Deer Hunter,1978,"['vietnam war', 'vietnam veteran', 'small town', 'suicide', 'vietnam', 'post-traumatic stress disorder (ptsd)', 'escape', 'pennsylvania, usa', 'saigon', 'friends', 'russian roulette', 'wedding', 'deer hunting', 'steel worker', 'anti war', 'revolver', 'drunkenness', 'viet cong', 'romantic triangle', 'friends love same woman', 'prisoner of war camp', 'slavic american']",1978-12-08,R
Rocky,1976,"['underdog', 'philadelphia, pennsylvania', 'transporter', ""love of one's life"", 'italian american', 'sports', 'fight', 'independence', 'publicity', 'boxer', 'training', 'lovers', 'world champion', 'victory', 'surprise', 'boxing', 'absurd', 'hopeful']",1976-11-20,PG
Network,1976,"['adultery', 'new york city', 'corruption', 'profit', 'satire', 'tv ratings', 'murder', 'corporate', 'reporter', 'co-workers relationship', 'rage', 'anger', 'tv show in film', 'meeting', 'political satire', 'news', 'fired', 'network', 'anchor', 'tv news anchor']",1976-11-14,R
Barry Lyndon,1975,"['based on novel or book', 'gambling', 'desertion', 'fencing', 'palace', 'british army', 'opportunist', 'wealth', 'debt', 'duel', 'ireland', 'british soldier', '18th century', 'card playing', 'pistol duel', 'seven years war', 'nobility', 'prussia', 'cautionary']",1975-12-11,PG
Zerkalo,1975,"['dreams', 'wind', 'poetry', 'world war ii', 'cigarette', 'field', 'spanish civil war (1936-39)', 'nostalgia', 'forest', 'terminal illness', 'flashback', 'dying man', 'avant-garde', 'illness', 'childhood', 'post world war ii', 'dream sequence', 'newsreel footage', 'nostalgic', 'reflection', 'poetry recitation', 'russian history', 'sepia color', 'historical drama', 'memoirs', '1940s', '1960s', 'non-narrative', 'somber', 'self reflection', '1930s', 'reflective', 'portrait of an artist', 'dreamlike', 'russia', 'soviet union history', 'memories', 'stream of consciousness', 'existentialist', '20th century', 'experimental film', 'pre war soviet union', 'russian poetry', 'nonlinear narrative', 'voice-over', 'nostalgic memory', 'biographical drama', 'the great patriotic war', 'dying poet']",1975-03-07,NR
Chinatown,1974,"['dying and death', 'sea', 'pedophilia', 'rape', 'mistake in person', 'river', 'chinatown', 'barrage', 'femme fatale', 'conspiracy', 'whodunit', 'los angeles, california', 'private detective', 'neo-noir']",1974-06-20,R
Paper Moon,1973,"['friendship', 'funeral', 'missouri', 'bible', 'con man', 'carnival', 'great depression', 'aunt', 'road trip', 'kansas, usa', 'black and white', 'con', 'tween girl']",1973-04-09,PG
Viskningar och rop,1972,"['dying and death', 'sibling relationship', 'sweden', 'sister', 'cancer', 'mansion', '19th century']",1972-12-21,R
Solaris,1972,"['loss of sense of reality', 'based on novel or book', 'extraterrestrial technology', '1970s', 'subconsciousness', 'soviet union', 'hallucination', 'space travel', 'astronaut']",1972-02-05,PG
Le samouraï,1967,"['paris, france', 'police', 'hitman', 'jazz club', 'treason', 'stakeout', 'french noir', 'contract killer', 'mysterious', 'professional assassin', 'neo-noir', 'complex relationship', 'ominous']",1967-10-25,PG
Cool Hand Luke,1967,"['prison', 'dying and death', 'florida', 'based on novel or book', 'escape', 'loss of loved one', 'rebel', 'harassment', 'imprisonment', 'barbed wire', 'death', 'prison farm']",1967-11-01,PG
Persona,1966,"['dreams', 'nurse', 'confession', 'identity crisis', 'mental breakdown', 'betrayal', 'mute', 'black and white', 'patient', 'psychiatry', 'submerged', 'mysterious', 'institution', 'dual personality', 'stage actress', 'duality', 'dissociative identities', 'empathetic']",1966-10-18,15
Andrei Rublev,1966,"['rape', 'christianity', 'monk', 'artist', 'cathedral', 'crucifixion', 'famine', 'painter', 'icon', 'biography', 'tatars', 'teacher', 'bell', 'black and white', 'torture', 'massacre', 'brutality', 'middle ages (476-1453)', 'monastery', 'tartar', 'bell maker', 'philosophical', '15th century', 'religious vow']",1966-12-16,R
La battaglia di Algeri,1966,"['revolution', 'algerian', 'insurrection', 'black and white', 'algiers, algeria', 'resistance fighter', 'north africa', 'algerian war (1954-62)', 'battle of algiers', 'struggle for independence', 'anti-colonialism', 'maghreb', 'djazair', 'independance war']",1966-08-31,NR
El ángel exterminador,1962,"['sheep', 'quarantine', 'upper class', 'guest', 'room', 'surrealism', 'lamb', 'bear', 'mansion', 'black and white', 'roman catholic church', 'pretension', 'dinner party', 'piano', 'provocative']",1962-05-16,U
What Ever Happened to Baby Jane?,1962,"['beach', 'sibling relationship', 'based on novel or book', 'insanity', 'wheelchair', 'sister', 'aging', 'alcoholism', 'murder', 'hollywood', 'mental illness', 'invalid', 'former child star', 'ice cream', 'vaudeville', 'recluse', 'drunkenness', 'spinsters', 'old mansion', 'piano', 'sister sister relationship', 'hagsploitation', 'psycho-biddy']",1962-10-31,NR
Sanjuro,1962,"['japan', 'samurai', 'corruption', 'temple', 'fighter', 'black and white', 'jidaigeki', 'edo period', 'feudal japan', 'bakumatsu']",1962-01-01,NR
The Man Who Shot Liberty Valance,1962,"['gunslinger', 'showdown', 'funeral', 'legend', 'ranch', 'outlaw', 'lawyer', 'black and white', 'stagecoach', 'cowboy']",1962-04-13,PG-13
Ivanovo detstvo,1962,"['dreams', 'spy', 'world war ii', 'swamp', 'flashback', 'black and white', 'animals', 'apple', 'flare', '1940s', 'children in wartime']",1962-04-06,PG
Jungfrukällan,1960,"['rape', 'brother', 'peasant', 'child murder', 'revenge', 'pregnant woman', 'medieval', 'rape and revenge', '13th century', 'spring (water)']",1960-02-08,15
Inherit the Wind,1960,"['politician', 'based on true story', 'trial', 'teacher', 'lawyer', 'courtroom', 'evolution', 'rhetoric', 'scopes monkey trial', 'judiciary', 'courtroom drama']",1960-06-26,NR
Les quatre cents coups,1959,"['paris, france', 'delinquent', 'coming of age', 'black and white', 'fingerprint', 'semi autobiographical', 'skipping school', 'mugshot', 'strict teacher', 'montmartre, paris']",1959-05-04,NR
Ben-Hur,1959,"['epic', 'governor', 'middle east', 'based on novel or book', 'roman empire', 'politics', 'christianity', 'jew persecution', 'jewish life', 'roman', 'miracle', 'jerusalem', 'prince', 'chariot race', 'leprosy', 'redemption', 'religious conversion', 'ancient rome', 'love', 'friends', 'remake', 'revenge', 'judaism', 'religion', 'historical fiction', 'period drama', 'dungeon', 'galley', 'hatred', 'sheikh', 'sea battle', 'jewish family', 'galley slave', 'childhood sweetheart', 'salvation', '1st century', 'jesus christ', 'false imprisonment', 'judea', 'subjugated people', 'awestruck']",1959-11-18,G
Kakushi-toride no san-akunin,1958,"['japan', 'male friendship', 'jidaigeki', 'sengoku period', 'feudal japan', '16th century', 'mountain fortress']",1958-12-28,PG
Le notti di Cabiria,1957,"['rome, italy', 'optimism', 'house', 'poverty', 'prostitution', 'madonna', 'heartbreak', 'rescue from drowning', 'ostia italy', 'shrine', 'hypnotist', 'railway station', 'starving', 'accountant']",1957-05-11,16
Kumonosu-jô,1957,"['japan', 'samurai', 'based on novel or book', 'prophecy', 'castle', 'ambition', 'betrayal', 'ghost', 'jidaigeki', 'sengoku period', 'feudal lord', 'feudal japan']",1957-01-15,12
The Bridge on the River Kwai,1957,"['japan', 'based on novel or book', 'resistance', 'river', 'world war ii', 'prisoner of war', 'thailand', 'bridge', 'burma', 'pacific war', 'bridge blowup', 'dramatic']",1957-10-02,PG
On the Waterfront,1954,"['corruption', 'new jersey', 'murder', 'mafia', 'black and white', 'union', 'dock', 'longshoreman', 'pigeon', 'ex-boxer']",1954-06-22,NR
Le salaire de la peur,1953,"['petrol', 'fire', 'life and death', 'based on novel or book', 'unsociability', 'central and south america', 'capitalism', 'venezuela', 'tanker', 'dynamite', 'male friendship', 'nitroglycerin', 'truck', 'oil', 'fear', 'explosion', 'central america', 'on the road', 'south america', 'labor', 'driver', 'road movie', 'wage', 'dangerous driving', 'fear of death', 'life or death', 'road', 'job', 'labour', 'desperation']",1953-04-15,PG-13
Ace in the Hole,1951,"['rescue', 'sheriff', 'journalism', 'new mexico', 'satire', 'film noir', 'reporter', 'black and white', 'trapped', 'desert', 'newspaper man']",1951-06-14,NR
White Heat,1949,"['prison', 'undercover agent', 'parent child relationship', 'gangster', 'psychopath', ""mama's boy"", 'heist', 'film noir', 'on the run', 'shootout', 'train', 'explosion', 'killer', 'inmate', 'criminal gang', 'prison break', 'infiltrate', 'unfaithful wife']",1949-09-02,NR
The Third Man,1949,"['staged death', 'black market', 'cemetery', 'investigation', 'soviet military', 'prater', 'british army', 'austria', 'cover-up', 'film noir', 'black and white', 'foot chase', 'vienna, austria', 'sewer', 'missing person', 'post world war ii', 'ferris wheel', 'grim', 'penicillin', 'forged passport', 'ominous']",1949-08-31,NR
The Red Shoes,1948,"['dance', 'new love', 'london, england', 'dance performance', 'composer', 'ballet dancer', 'ballet', 'red shoes']",1948-07-22,NR
The Shop Around the Corner,1940,"['salesclerk', 'secret love', 'lovesickness', 'budapest, hungary', 'anonymous letter', 'man woman relationship', 'pen pals', 'love', 'co-workers relationship', 'music box', 'bickering', 'gift shop', 'holiday season', 'christmas', 'parfumerie']",1940-01-10,NR
Rebecca,1940,"['based on novel or book', 'age difference', 'obsession', 'monte carlo', 'bride', 'cornwall, england', 'love', 'film noir', 'rural area', 'devotion', 'housekeeper', 'gothic', 'death', 'estate', 'costume party', 'mysterious death', 'gothic thriller', 'age-gap relationship']",1940-03-21,NR
Mr. Smith Goes to Washington,1939,"['governor', 'washington dc, usa', 'senate', 'senator', 'sightseeing', 'politician', 'idealist', 'dam', 'camp', 'conservative', 'black and white', 'disillusionment', 'political corruption', 'integrity', 'usa politics', 'determination', 'filibuster', 'walkout', 'political machine', 'smear campaign', 'expulsion attempt', 'inspirational']",1939-10-17,NR
Gone with the Wind,1939,"['civil war', 'based on novel or book', 'marriage crisis', 'loss of loved one', 'widow', 'atlanta', 'slavery', 'plantation', 'typhus', 'romance', 'casualty of war', 'second marriage', 'revisionist history', 'american civil war', 'technicolor', 'racist stereotype', 'reconstruction era', 'businesswoman', '1860s', '1870s', 'antebellum south', 'powerful', 'pro slavery', 'lost cause']",1939-12-15,G
La Grande Illusion,1937,"['prisoner', 'france', 'countryside', 'escape', 'germany', 'world war i', 'prisoner of war', 'brotherhood', 'camp', 'aristocrat', 'fraternity', 'war injury', 'escaped prisoner', 'prison camp', 'trying to escape', 'escape plan', 'humanism']",1937-06-04,NR
It Happened One Night,1934,"['newspaper', 'miami, florida', 'marriage', 'reporter', 'black and white', 'screwball comedy', 'socialite', 'pre-code', 'based on short story', 'screwball', 'hitchhiking', 'road movie', 'rich girl', 'frantic', 'brat', 'trains', 'lighthearted', 'witty', 'romantic', 'cliché']",1934-02-18,NR
La passion de Jeanne d'Arc,1928,"['suffering', 'court case', 'judge', 'sentence', 'woman martyr', 'heresy', 'trial', 'religion', 'torture chamber', 'black and white', 'saint', 'martyrdom', 'dove', 'silent film', 'catholicism', 'martyr', 'joan of arc', 'forgery', 'judiciary', '15th century', 'burning at stake', 'holy communion', 'bloodletting', 'inspirational', ""jeanne d'arc""]",1928-04-21,NR
The Circus,1928,"['circus', 'one-sided love', 'tramp', 'unrequited love', 'black and white', 'silent film', 'employer employee relationship']",1928-01-06,G
Sunrise: A Song of Two Humans,1927,"['adultery', 'lake', 'love triangle', 'pig', 'marriage crisis', 'country life', 'indian summer ', 'redemption', 'rural area', 'black and white', 'storm', 'silent film', 'farmer', 'troubled marriage', 'german expressionism']",1927-09-23,NR
The General,1926,"['cannon', 'army', 'general', 'southern usa', 'spy', 'fiancé', 'bridge', 'engineer', 'attack', 'black and white', 'train', 'silent film', 'behind enemy lines', 'american civil war']",1926-12-25,NR
Das Cabinet des Dr. Caligari,1920,"['insane asylum', 'black and white', 'silent film', 'unreliable narrator', 'expressionism', 'somnambulist', 'unreliable flashback', 'megalomania', 'madman', 'somnambulism', 'german expressionism', 'ominous']",1920-02-26,NR
Badhaai ho,2018,"['husband wife relationship', 'pregnancy', 'middle class', 'family relationships', 'wedding', 'gossip', 'boyfriend girlfriend relationship', 'mother son relationship', 'embarrasment']",2018-10-19,
Togo,2019,"['snowstorm', 'husky', 'based on true story', 'puppy', 'alaska', 'snow', 'historical', 'dog', 'sled dogs', 'run', '1920s', 'pets']",2019-12-20,PG
Airlift,2016,"['evacuation', 'based on true story', 'iraq war']",2016-01-22,14
Bajrangi Bhaijaan,2015,"['religion', 'journey', 'lost child']",2015-07-15,PG-13
Baby,2015,"['espionage', 'elite unit', 'terrorism', 'commando']",2015-01-23,
La La Land,2016,"['dancing', 'dance', 'jazz', 'musical', 'ambition', 'casting', 'coffee shop', 'jazz club', 'traffic jam', 'hollywood', 'los angeles, california', 'pianist', 'pier', 'audition', ""valentine's day"", 'planetarium', 'aspiring actor', 'movie set', 'sunset', 'one woman show', 'pool party', 'white savior', 'griffith observatory', 'exuberant']",2016-08-31,PG-13
Lion,2016,"['australia', 'based on novel or book', 'adoption', 'affectation', 'biography', 'based on true story', 'india', 'missing child', 'long lost relative', 'tasmania', 'street child', 'dramatic', 'familiar']",2016-09-10,PG-13
The Martian,2015,"['spacecraft', 'planet mars', 'based on novel or book', 'nasa', 'isolation', 'botanist', 'alone', 'survival', 'space', 'engineering', 'stranded', 'astronaut', 'struggle for survival', 'duringcreditsstinger', 'deep space', 'potatoes', '2030s', 'suspenseful']",2015-09-11,PG-13
